Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,50,0.186,Baby_Scratch,1,1
176,34,46,0.187,Baby_Scratch,1,1
176,34,50,0.188,Baby_Scratch,1,1
176,34,49,0.19,Baby_Scratch,1,1
176,34,49,0.19,Baby_Scratch,1,1
176,34,49,0.191,Baby_Scratch,1,1
176,34,46,0.192,Baby_Scratch,1,1
176,34,48,0.193,Baby_Scratch,1,1
176,34,49,0.194,Baby_Scratch,1,1
176,34,49,0.195,Baby_Scratch,1,1
176,34,48,0.196,Baby_Scratch,1,1
176,34,45,0.198,Baby_Scratch,1,1
176,34,49,0.198,Baby_Scratch,1,1
176,34,48,0.2,Baby_Scratch,1,1
176,34,49,0.201,Baby_Scratch,1,1
176,34,49,0.201,Baby_Scratch,1,1
176,34,45,0.202,Baby_Scratch,1,1
176,34,49,0.203,Baby_Scratch,1,1
176,34,49,0.204,Baby_Scratch,1,1
176,34,49,0.205,Baby_Scratch,1,1
176,34,49,0.206,Baby_Scratch,1,1
176,34,46,0.207,Baby_Scratch,1,1
176,34,49,0.208,Baby_Scratch,1,1
176,34,49,0.209,Baby_Scratch,1,1
176,34,50,0.21,Baby_Scratch,1,1
176,34,49,0.211,Baby_Scratch,1,1
176,34,47,0.212,Baby_Scratch,1,1
176,34,49,0.213,Baby_Scratch,1,1
176,34,50,0.214,Baby_Scratch,1,1
176,34,49,0.215,Baby_Scratch,1,1
176,34,50,0.216,Baby_Scratch,1,1
176,34,50,0.217,Baby_Scratch,1,1
176,34,48,0.218,Baby_Scratch,1,1
176,34,50,0.22,Baby_Scratch,1,1
176,34,51,0.221,Baby_Scratch,1,1
176,34,50,0.221,Baby_Scratch,1,1
176,34,52,0.223,Baby_Scratch,1,1
176,34,48,0.223,Baby_Scratch,1,1
176,34,51,0.225,Baby_Scratch,1,1
176,34,52,0.226,Baby_Scratch,1,1
176,34,52,0.227,Baby_Scratch,1,1
176,34,52,0.227,Baby_Scratch,1,1
176,34,50,0.228,Baby_Scratch,1,1
176,34,52,0.23,Baby_Scratch,1,1
176,34,52,0.231,Baby_Scratch,1,1
176,34,53,0.231,Baby_Scratch,1,1
176,34,53,0.232,Baby_Scratch,1,1
176,34,51,0.233,Baby_Scratch,1,1
176,34,53,0.234,Baby_Scratch,1,1
176,34,54,0.235,Baby_Scratch,1,1
176,34,54,0.236,Baby_Scratch,1,1
176,34,54,0.237,Baby_Scratch,1,1
176,34,52,0.239,Baby_Scratch,1,1
176,34,55,0.239,Baby_Scratch,1,1
176,34,55,0.24,Baby_Scratch,1,1
176,34,55,0.242,Baby_Scratch,1,1
176,34,56,0.243,Baby_Scratch,1,1
176,34,54,0.244,Baby_Scratch,1,1
176,34,56,0.244,Baby_Scratch,1,1
176,34,57,0.245,Baby_Scratch,1,1
176,34,57,0.246,Baby_Scratch,1,1
176,34,57,0.248,Baby_Scratch,1,1
176,34,56,0.248,Baby_Scratch,1,1
176,34,58,0.249,Baby_Scratch,1,1
