Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,74,0.155,Stab,1,1
176,34,73,0.156,Stab,1,1
176,34,73,0.157,Stab,1,1
176,34,71,0.158,Stab,1,1
176,34,71,0.159,Stab,1,1
176,34,70,0.16,Stab,1,1
176,34,69,0.161,Stab,1,1
176,34,69,0.162,Stab,1,1
176,34,68,0.163,Stab,1,1
176,34,69,0.164,Stab,1,1
176,34,66,0.165,Stab,1,1
176,34,66,0.166,Stab,1,1
176,34,65,0.167,Stab,1,1
176,34,63,0.169,Stab,1,1
176,34,63,0.17,Stab,1,1
176,34,62,0.171,Stab,1,1
176,34,62,0.172,Stab,1,1
176,34,62,0.173,Stab,1,1
176,34,60,0.174,Stab,1,1
176,34,61,0.175,Stab,1,1
176,34,61,0.176,Stab,1,1
176,34,60,0.177,Stab,1,1
176,34,59,0.178,Stab,1,1
176,34,58,0.179,Stab,1,1
176,34,59,0.18,Stab,1,1
176,34,58,0.181,Stab,1,1
176,34,58,0.182,Stab,1,1
176,34,57,0.183,Stab,1,1
176,34,57,0.184,Stab,1,1
176,34,55,0.185,Stab,1,1
176,34,55,0.186,Stab,1,1
176,34,56,0.187,Stab,1,1
176,34,55,0.188,Stab,1,1
176,34,54,0.189,Stab,1,1
176,34,52,0.19,Stab,1,1
176,34,53,0.191,Stab,1,1
176,34,53,0.192,Stab,1,1
176,34,52,0.193,Stab,1,1
176,34,52,0.194,Stab,1,1
176,34,49,0.195,Stab,1,1
176,34,52,0.196,Stab,1,1
176,34,50,0.197,Stab,1,1
176,34,51,0.198,Stab,1,1
176,34,50,0.199,Stab,1,1
176,34,47,0.2,Stab,1,1
176,34,49,0.201,Stab,1,1
176,34,50,0.202,Stab,1,1
176,34,48,0.203,Stab,1,1
176,34,49,0.204,Stab,1,1
176,34,45,0.205,Stab,1,1
176,34,48,0.206,Stab,1,1
176,34,47,0.207,Stab,1,1
176,34,48,0.208,Stab,1,1
176,34,46,0.209,Stab,1,1
176,34,44,0.21,Stab,1,1
176,34,46,0.212,Stab,1,1
176,34,46,0.213,Stab,1,1
176,34,45,0.213,Stab,1,1
176,34,46,0.214,Stab,1,1
176,34,43,0.215,Stab,1,1
176,34,45,0.216,Stab,1,1
176,34,46,0.217,Stab,1,1
176,34,46,0.218,Stab,1,1
176,34,46,0.219,Stab,1,1
176,34,41,0.22,Stab,1,1
176,34,44,0.221,Stab,1,1
176,34,44,0.222,Stab,1,1
176,34,45,0.223,Stab,1,1
176,34,45,0.224,Stab,1,1
176,34,45,0.225,Stab,1,1
176,34,40,0.226,Stab,1,1
176,34,45,0.227,Stab,1,1
