Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
182,63,79,0.281,Flare,1,1
176,34,75,0.281,Flare,1,1
182,31,124,0.282,Flare,1,1
182,63,31,0.282,Flare,1,1
182,31,123,0.282,Flare,1,1
182,63,46,0.282,Flare,1,1
176,34,75,0.282,Flare,1,1
182,31,122,0.283,Flare,1,1
182,63,14,0.283,Flare,1,1
176,34,79,0.283,Flare,1,1
176,34,77,0.284,Flare,1,1
182,31,120,0.285,Flare,1,1
182,63,78,0.285,Flare,1,1
176,34,76,0.285,Flare,1,1
182,31,119,0.287,Flare,1,1
182,63,14,0.287,Flare,1,1
176,34,77,0.287,Flare,1,1
182,31,117,0.287,Flare,1,1
182,63,126,0.287,Flare,1,1
182,31,117,0.287,Flare,1,1
182,63,30,0.287,Flare,1,1
176,34,76,0.287,Flare,1,1
182,31,116,0.289,Flare,1,1
176,34,78,0.289,Flare,1,1
182,63,30,0.29,Flare,1,1
182,31,114,0.29,Flare,1,1
182,63,125,0.29,Flare,1,1
176,34,76,0.29,Flare,1,1
176,34,76,0.29,Flare,1,1
182,31,114,0.291,Flare,1,1
182,63,29,0.291,Flare,1,1
176,34,76,0.291,Flare,1,1
182,31,113,0.292,Flare,1,1
182,63,93,0.292,Flare,1,1
176,34,77,0.292,Flare,1,1
182,31,112,0.293,Flare,1,1
182,63,109,0.293,Flare,1,1
182,31,112,0.293,Flare,1,1
182,63,13,0.293,Flare,1,1
176,34,79,0.293,Flare,1,1
182,31,111,0.294,Flare,1,1
182,63,61,0.294,Flare,1,1
176,34,77,0.294,Flare,1,1
176,34,76,0.295,Flare,1,1
182,31,110,0.296,Flare,1,1
182,63,61,0.296,Flare,1,1
176,34,76,0.296,Flare,1,1
182,31,110,0.297,Flare,1,1
182,63,45,0.297,Flare,1,1
182,31,109,0.297,Flare,1,1
182,63,93,0.297,Flare,1,1
176,34,77,0.297,Flare,1,1
182,31,109,0.299,Flare,1,1
182,63,29,0.299,Flare,1,1
176,34,80,0.299,Flare,1,1
182,31,108,0.3,Flare,1,1
182,63,125,0.3,Flare,1,1
176,34,77,0.3,Flare,1,1
176,34,76,0.3,Flare,1,1
182,31,108,0.302,Flare,1,1
182,63,29,0.302,Flare,1,1
176,34,77,0.302,Flare,1,1
176,34,76,0.303,Flare,1,1
182,31,107,0.304,Flare,1,1
182,63,125,0.304,Flare,1,1
176,34,80,0.304,Flare,1,1
176,34,77,0.305,Flare,1,1
176,34,76,0.306,Flare,1,1
176,34,77,0.307,Flare,1,1
176,34,77,0.308,Flare,1,1
176,34,79,0.309,Flare,1,1
176,34,77,0.31,Flare,1,1
176,34,77,0.311,Flare,1,1
182,31,108,0.312,Flare,1,1
182,63,29,0.312,Flare,1,1
176,34,76,0.312,Flare,1,1
182,31,108,0.313,Flare,1,1
182,63,109,0.313,Flare,1,1
176,34,77,0.313,Flare,1,1
182,31,108,0.314,Flare,1,1
182,63,125,0.314,Flare,1,1
176,34,79,0.314,Flare,1,1
182,31,109,0.315,Flare,1,1
182,63,93,0.315,Flare,1,1
176,34,77,0.315,Flare,1,1
176,34,77,0.316,Flare,1,1
182,31,110,0.317,Flare,1,1
182,63,45,0.317,Flare,1,1
176,34,76,0.317,Flare,1,1
182,31,111,0.318,Flare,1,1
182,63,45,0.318,Flare,1,1
176,34,77,0.318,Flare,1,1
182,31,111,0.319,Flare,1,1
182,63,125,0.319,Flare,1,1
182,31,112,0.319,Flare,1,1
182,63,61,0.319,Flare,1,1
176,34,76,0.319,Flare,1,1
182,31,113,0.32,Flare,1,1
182,63,45,0.32,Flare,1,1
176,34,79,0.32,Flare,1,1
176,34,77,0.321,Flare,1,1
182,31,114,0.322,Flare,1,1
182,63,77,0.322,Flare,1,1
176,34,77,0.322,Flare,1,1
182,31,115,0.323,Flare,1,1
182,63,78,0.323,Flare,1,1
176,34,76,0.323,Flare,1,1
182,31,116,0.324,Flare,1,1
182,63,94,0.324,Flare,1,1
182,31,117,0.324,Flare,1,1
182,63,94,0.324,Flare,1,1
176,34,76,0.324,Flare,1,1
182,31,118,0.325,Flare,1,1
182,63,126,0.325,Flare,1,1
176,34,78,0.325,Flare,1,1
176,34,76,0.326,Flare,1,1
182,31,120,0.327,Flare,1,1
182,63,62,0.327,Flare,1,1
176,34,76,0.327,Flare,1,1
182,31,122,0.328,Flare,1,1
182,63,14,0.328,Flare,1,1
176,34,76,0.328,Flare,1,1
182,31,123,0.329,Flare,1,1
182,63,62,0.329,Flare,1,1
182,31,124,0.329,Flare,1,1
182,63,47,0.329,Flare,1,1
176,34,76,0.329,Flare,1,1
182,31,125,0.33,Flare,1,1
182,63,127,0.33,Flare,1,1
176,34,79,0.33,Flare,1,1
176,34,76,0.331,Flare,1,1
182,31,127,0.332,Flare,1,1
182,63,95,0.332,Flare,1,1
176,34,75,0.332,Flare,1,1
182,31,127,0.333,Flare,1,1
182,63,127,0.333,Flare,1,1
176,34,76,0.333,Flare,1,1
176,34,75,0.334,Flare,1,1
176,34,79,0.335,Flare,1,1
176,34,76,0.336,Flare,1,1
176,34,75,0.337,Flare,1,1
176,34,75,0.338,Flare,1,1
176,34,74,0.339,Flare,1,1
176,34,78,0.34,Flare,1,1
176,34,76,0.341,Flare,1,1
176,34,75,0.342,Flare,1,1
176,34,74,0.343,Flare,1,1
176,34,75,0.344,Flare,1,1
176,34,77,0.345,Flare,1,1
176,34,74,0.346,Flare,1,1
176,34,74,0.347,Flare,1,1
176,34,75,0.348,Flare,1,1
176,34,74,0.349,Flare,1,1
176,34,76,0.35,Flare,1,1
176,34,74,0.351,Flare,1,1
176,34,74,0.352,Flare,1,1
176,34,73,0.353,Flare,1,1
176,34,73,0.354,Flare,1,1
176,34,75,0.355,Flare,1,1
176,34,73,0.356,Flare,1,1
176,34,73,0.357,Flare,1,1
176,34,73,0.358,Flare,1,1
176,34,73,0.359,Flare,1,1
176,34,73,0.36,Flare,1,1
176,34,72,0.361,Flare,1,1
176,34,72,0.362,Flare,1,1
176,34,72,0.363,Flare,1,1
176,34,71,0.364,Flare,1,1
176,34,72,0.365,Flare,1,1
176,34,70,0.366,Flare,1,1
176,34,71,0.367,Flare,1,1
176,34,70,0.368,Flare,1,1
176,34,70,0.369,Flare,1,1
176,34,70,0.37,Flare,1,1
176,34,70,0.371,Flare,1,1
176,34,69,0.372,Flare,1,1
176,34,69,0.373,Flare,1,1
176,34,68,0.374,Flare,1,1
176,34,69,0.375,Flare,1,1
176,34,69,0.376,Flare,1,1
176,34,68,0.377,Flare,1,1
176,34,68,0.378,Flare,1,1
176,34,68,0.379,Flare,1,1
176,34,67,0.38,Flare,1,1
176,34,68,0.381,Flare,1,1
176,34,67,0.382,Flare,1,1
176,34,67,0.383,Flare,1,1
176,34,67,0.384,Flare,1,1
176,34,66,0.385,Flare,1,1
176,34,66,0.386,Flare,1,1
176,34,66,0.387,Flare,1,1
176,34,66,0.388,Flare,1,1
176,34,66,0.389,Flare,1,1
176,34,65,0.39,Flare,1,1
176,34,66,0.391,Flare,1,1
176,34,65,0.392,Flare,1,1
176,34,65,0.393,Flare,1,1
