,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
36863,20609,182,31,123,0.093,Chirp,1,5,1,1.239765625
36864,20614,176,34,80,0.094,Chirp,1,5,1,-144.74600000000012
36865,20612,182,31,125,0.094,Chirp,1,5,1,1.25984375
36866,20617,176,34,79,0.095,Chirp,1,5,1,-144.73100000000014
36867,20615,182,31,126,0.095,Chirp,1,5,1,1.269921875
36868,20620,176,34,80,0.096,Chirp,1,5,1,-144.69900000000013
36869,20618,182,31,127,0.096,Chirp,1,5,1,1.279921875
36870,20620,176,34,80,0.097,Chirp,1,5,1,-144.69900000000013
36871,20618,182,31,127,0.097,Chirp,1,5,1,1.279921875
36872,20622,176,34,83,0.098,Chirp,1,5,1,-144.68000000000012
36873,20773,182,31,127,0.098,Chirp,1,5,1,1.279921875
36874,20623,176,34,79,0.099,Chirp,1,5,1,-144.66500000000013
36875,20773,182,31,127,0.099,Chirp,1,5,1,1.279921875
36876,20624,176,34,79,0.1,Chirp,1,5,1,-144.65000000000015
36877,20773,182,31,127,0.1,Chirp,1,5,1,1.279921875
36878,20625,176,34,80,0.101,Chirp,1,5,1,-144.63400000000016
36879,20773,182,31,127,0.101,Chirp,1,5,1,1.279921875
36880,20626,176,34,79,0.102,Chirp,1,5,1,-144.61900000000017
36881,20773,182,31,127,0.102,Chirp,1,5,1,1.279921875
36882,20627,176,34,83,0.103,Chirp,1,5,1,-144.60000000000016
36883,20773,182,31,127,0.103,Chirp,1,5,1,1.279921875
36884,20628,176,34,79,0.104,Chirp,1,5,1,-144.58500000000018
36885,20773,182,31,127,0.104,Chirp,1,5,1,1.279921875
36886,20629,176,34,79,0.105,Chirp,1,5,1,-144.5700000000002
36887,20773,182,31,127,0.105,Chirp,1,5,1,1.279921875
36888,20630,176,34,79,0.106,Chirp,1,5,1,-144.5550000000002
36889,20773,182,31,127,0.106,Chirp,1,5,1,1.279921875
36890,20631,176,34,79,0.107,Chirp,1,5,1,-144.54000000000022
36891,20773,182,31,127,0.107,Chirp,1,5,1,1.279921875
36892,20632,176,34,83,0.108,Chirp,1,5,1,-144.5210000000002
36893,20773,182,31,127,0.108,Chirp,1,5,1,1.279921875
36894,20633,176,34,78,0.109,Chirp,1,5,1,-144.5070000000002
36895,20773,182,31,127,0.109,Chirp,1,5,1,1.279921875
36896,20634,176,34,80,0.11,Chirp,1,5,1,-144.4910000000002
36897,20773,182,31,127,0.11,Chirp,1,5,1,1.279921875
36898,20635,176,34,79,0.111,Chirp,1,5,1,-144.47600000000023
36899,20773,182,31,127,0.111,Chirp,1,5,1,1.279921875
36900,20636,176,34,79,0.112,Chirp,1,5,1,-144.46100000000024
36901,20773,182,31,127,0.112,Chirp,1,5,1,1.279921875
36902,20637,176,34,82,0.113,Chirp,1,5,1,-144.44300000000024
36903,20773,182,31,127,0.113,Chirp,1,5,1,1.279921875
36904,20638,176,34,79,0.114,Chirp,1,5,1,-144.42800000000025
36905,20773,182,31,127,0.114,Chirp,1,5,1,1.279921875
36906,20639,176,34,79,0.115,Chirp,1,5,1,-144.41300000000027
36907,20773,182,31,127,0.115,Chirp,1,5,1,1.279921875
36908,20640,176,34,79,0.116,Chirp,1,5,1,-144.39800000000028
36909,20773,182,31,127,0.116,Chirp,1,5,1,1.279921875
36910,20641,176,34,79,0.117,Chirp,1,5,1,-144.3830000000003
36911,20773,182,31,127,0.117,Chirp,1,5,1,1.279921875
36912,20642,176,34,82,0.118,Chirp,1,5,1,-144.3650000000003
36913,20773,182,31,127,0.118,Chirp,1,5,1,1.279921875
36914,20643,176,34,78,0.119,Chirp,1,5,1,-144.3370000000003
36915,20773,182,31,127,0.119,Chirp,1,5,1,1.279921875
36916,20643,176,34,78,0.12,Chirp,1,5,1,-144.3370000000003
36917,20773,182,31,127,0.12,Chirp,1,5,1,1.279921875
36918,20645,176,34,79,0.121,Chirp,1,5,1,-144.32200000000032
36919,20773,182,31,127,0.121,Chirp,1,5,1,1.279921875
36920,20646,176,34,78,0.122,Chirp,1,5,1,-144.3080000000003
36921,20773,182,31,127,0.122,Chirp,1,5,1,1.279921875
36922,20647,176,34,81,0.123,Chirp,1,5,1,-144.2910000000003
36923,20773,182,31,127,0.123,Chirp,1,5,1,1.279921875
36924,20648,176,34,78,0.124,Chirp,1,5,1,-144.2770000000003
36925,20773,182,31,127,0.124,Chirp,1,5,1,1.279921875
36926,20649,176,34,78,0.125,Chirp,1,5,1,-144.2630000000003
36927,20773,182,31,127,0.125,Chirp,1,5,1,1.279921875
36928,20650,176,34,78,0.126,Chirp,1,5,1,-144.24900000000028
36929,20773,182,31,127,0.126,Chirp,1,5,1,1.279921875
36930,20651,176,34,78,0.127,Chirp,1,5,1,-144.2210000000003
36931,20773,182,31,127,0.127,Chirp,1,5,1,1.279921875
36932,20651,176,34,78,0.128,Chirp,1,5,1,-144.2210000000003
36933,20773,182,31,127,0.128,Chirp,1,5,1,1.279921875
36934,20653,176,34,77,0.129,Chirp,1,5,1,-144.20800000000028
36935,20773,182,31,127,0.129,Chirp,1,5,1,1.279921875
36936,20654,176,34,77,0.13,Chirp,1,5,1,-144.19500000000028
36937,20773,182,31,127,0.13,Chirp,1,5,1,1.279921875
36938,20655,176,34,77,0.131,Chirp,1,5,1,-144.18200000000027
36939,20773,182,31,127,0.131,Chirp,1,5,1,1.279921875
36940,20656,176,34,76,0.132,Chirp,1,5,1,-144.17000000000027
