,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
63757,34720,182,31,126,0.114,Flare,1,5,41,1.2696875
63758,34586,176,34,70,0.115,Flare,1,5,41,-219.03500000000025
63759,34720,182,31,126,0.115,Flare,1,5,41,1.2696875
63760,34587,176,34,70,0.116,Flare,1,5,41,-219.02900000000025
63761,34720,182,31,126,0.116,Flare,1,5,41,1.2696875
63762,34588,176,34,70,0.117,Flare,1,5,41,-219.02300000000025
63763,34720,182,31,126,0.117,Flare,1,5,41,1.2696875
63764,34589,176,34,69,0.118,Flare,1,5,41,-219.01800000000023
63765,34720,182,31,126,0.118,Flare,1,5,41,1.2696875
63766,34590,176,34,70,0.119,Flare,1,5,41,-219.01200000000023
63767,34720,182,31,126,0.119,Flare,1,5,41,1.2696875
63768,34591,176,34,69,0.12,Flare,1,5,41,-219.00700000000023
63769,34720,182,31,126,0.12,Flare,1,5,41,1.2696875
63770,34592,176,34,70,0.121,Flare,1,5,41,-219.00100000000023
63771,34720,182,31,126,0.121,Flare,1,5,41,1.2696875
63772,34593,176,34,69,0.122,Flare,1,5,41,-218.9960000000003
63773,34720,182,31,126,0.122,Flare,1,5,41,1.2696875
63774,34594,176,34,69,0.123,Flare,1,5,41,-218.99100000000027
63775,34720,182,31,126,0.123,Flare,1,5,41,1.2696875
63776,34595,176,34,69,0.124,Flare,1,5,41,-218.98600000000027
63777,34720,182,31,126,0.124,Flare,1,5,41,1.2696875
63778,34596,176,34,69,0.125,Flare,1,5,41,-218.98100000000028
63779,34720,182,31,126,0.125,Flare,1,5,41,1.2696875
63780,34597,176,34,68,0.126,Flare,1,5,41,-218.9770000000003
63781,34720,182,31,126,0.126,Flare,1,5,41,1.2696875
63782,34598,176,34,70,0.127,Flare,1,5,41,-218.9710000000003
63783,34720,182,31,126,0.127,Flare,1,5,41,1.2696875
63784,34599,176,34,69,0.128,Flare,1,5,41,-218.9660000000003
63785,34720,182,31,126,0.128,Flare,1,5,41,1.2696875
63786,34600,176,34,69,0.129,Flare,1,5,41,-218.9610000000003
63787,34720,182,31,126,0.129,Flare,1,5,41,1.2696875
63788,34601,176,34,69,0.13,Flare,1,5,41,-218.9560000000003
63789,34720,182,31,126,0.13,Flare,1,5,41,1.2696875
63790,34602,176,34,69,0.131,Flare,1,5,41,-218.9510000000003
63791,34720,182,31,126,0.131,Flare,1,5,41,1.2696875
63792,34603,176,34,69,0.132,Flare,1,5,41,-218.9460000000003
63793,34720,182,31,126,0.132,Flare,1,5,41,1.2696875
63794,34604,176,34,69,0.133,Flare,1,5,41,-218.94100000000032
63795,34720,182,31,126,0.133,Flare,1,5,41,1.2696875
63796,34605,176,34,69,0.134,Flare,1,5,41,-218.93600000000032
63797,34720,182,31,126,0.134,Flare,1,5,41,1.2696875
63798,34606,176,34,68,0.135,Flare,1,5,41,-218.93200000000036
63799,34720,182,31,126,0.135,Flare,1,5,41,1.2696875
63800,34607,176,34,69,0.136,Flare,1,5,41,-218.92700000000036
63801,34720,182,31,126,0.136,Flare,1,5,41,1.2696875
63802,34608,176,34,69,0.137,Flare,1,5,41,-218.91700000000037
63803,34720,182,31,126,0.137,Flare,1,5,41,1.2696875
63804,34608,176,34,69,0.138,Flare,1,5,41,-218.91700000000037
63805,34720,182,31,126,0.138,Flare,1,5,41,1.2696875
63806,34610,176,34,68,0.139,Flare,1,5,41,-218.91300000000035
63807,34720,182,31,126,0.139,Flare,1,5,41,1.2696875
63808,34611,176,34,68,0.14,Flare,1,5,41,-218.9090000000004
63809,34720,182,31,126,0.14,Flare,1,5,41,1.2696875
63810,34612,176,34,68,0.141,Flare,1,5,41,-218.9050000000004
63811,34720,182,31,126,0.141,Flare,1,5,41,1.2696875
63812,34613,176,34,69,0.142,Flare,1,5,41,-218.9000000000004
63813,34720,182,31,126,0.142,Flare,1,5,41,1.2696875
63814,34614,176,34,68,0.143,Flare,1,5,41,-218.8960000000004
63815,34720,182,31,126,0.143,Flare,1,5,41,1.2696875
63816,34615,176,34,68,0.144,Flare,1,5,41,-218.8920000000004
63817,34720,182,31,126,0.144,Flare,1,5,41,1.2696875
63818,34616,176,34,69,0.145,Flare,1,5,41,-218.8870000000004
63819,34720,182,31,126,0.145,Flare,1,5,41,1.2696875
63820,34617,176,34,68,0.146,Flare,1,5,41,-218.8830000000004
63821,34720,182,31,126,0.146,Flare,1,5,41,1.2696875
63822,34618,176,34,69,0.147,Flare,1,5,41,-218.8730000000004
63823,34720,182,31,126,0.147,Flare,1,5,41,1.2696875
63824,34618,176,34,69,0.148,Flare,1,5,41,-218.8730000000004
63825,34720,182,31,126,0.148,Flare,1,5,41,1.2696875
63826,34620,176,34,68,0.149,Flare,1,5,41,-218.86900000000043
