,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
180,176,34,70,0.154,Chirp,1,1,1,1.6479999999999997
307,182,31,127,0.154,Chirp,1,1,1,1.27984375
182,176,34,71,0.155,Chirp,1,1,1,1.6549999999999998
307,182,31,127,0.155,Chirp,1,1,1,1.27984375
183,176,34,70,0.156,Chirp,1,1,1,1.6609999999999998
307,182,31,127,0.156,Chirp,1,1,1,1.27984375
184,176,34,69,0.157,Chirp,1,1,1,1.666
307,182,31,127,0.157,Chirp,1,1,1,1.27984375
185,176,34,70,0.158,Chirp,1,1,1,1.672
307,182,31,127,0.158,Chirp,1,1,1,1.27984375
186,176,34,69,0.159,Chirp,1,1,1,1.677
307,182,31,127,0.159,Chirp,1,1,1,1.27984375
187,176,34,70,0.16,Chirp,1,1,1,1.683
307,182,31,127,0.16,Chirp,1,1,1,1.27984375
188,176,34,69,0.161,Chirp,1,1,1,1.6880000000000002
307,182,31,127,0.161,Chirp,1,1,1,1.27984375
189,176,34,69,0.162,Chirp,1,1,1,1.693
307,182,31,127,0.162,Chirp,1,1,1,1.27984375
190,176,34,68,0.163,Chirp,1,1,1,1.697
307,182,31,127,0.163,Chirp,1,1,1,1.27984375
191,176,34,69,0.164,Chirp,1,1,1,1.702
307,182,31,127,0.164,Chirp,1,1,1,1.27984375
192,176,34,69,0.165,Chirp,1,1,1,1.7069999999999999
307,182,31,127,0.165,Chirp,1,1,1,1.27984375
193,176,34,68,0.166,Chirp,1,1,1,1.7109999999999999
307,182,31,127,0.166,Chirp,1,1,1,1.27984375
194,176,34,68,0.167,Chirp,1,1,1,1.7149999999999999
307,182,31,127,0.167,Chirp,1,1,1,1.27984375
195,176,34,68,0.168,Chirp,1,1,1,1.7189999999999999
307,182,31,127,0.168,Chirp,1,1,1,1.27984375
196,176,34,67,0.169,Chirp,1,1,1,1.722
307,182,31,127,0.169,Chirp,1,1,1,1.27984375
197,176,34,69,0.17,Chirp,1,1,1,1.7269999999999999
307,182,31,127,0.17,Chirp,1,1,1,1.27984375
198,176,34,67,0.171,Chirp,1,1,1,1.73
307,182,31,127,0.171,Chirp,1,1,1,1.27984375
199,176,34,67,0.172,Chirp,1,1,1,1.7329999999999999
307,182,31,127,0.17200000000000001,Chirp,1,1,1,1.27984375
200,176,34,68,0.17300000000000001,Chirp,1,1,1,1.7409999999999999
307,182,31,127,0.17300000000000001,Chirp,1,1,1,1.27984375
200,176,34,68,0.174,Chirp,1,1,1,1.7409999999999999
307,182,31,127,0.17400000000000002,Chirp,1,1,1,1.27984375
202,176,34,67,0.175,Chirp,1,1,1,1.7439999999999998
307,182,31,127,0.17500000000000002,Chirp,1,1,1,1.27984375
203,176,34,67,0.176,Chirp,1,1,1,1.7469999999999999
307,182,31,127,0.176,Chirp,1,1,1,1.27984375
204,176,34,66,0.177,Chirp,1,1,1,1.7489999999999999
307,182,31,127,0.177,Chirp,1,1,1,1.27984375
205,176,34,67,0.178,Chirp,1,1,1,1.7519999999999998
307,182,31,127,0.178,Chirp,1,1,1,1.27984375
206,176,34,66,0.179,Chirp,1,1,1,1.7539999999999998
307,182,31,127,0.179,Chirp,1,1,1,1.27984375
207,176,34,66,0.18,Chirp,1,1,1,1.7559999999999998
307,182,31,127,0.18,Chirp,1,1,1,1.27984375
208,176,34,66,0.181,Chirp,1,1,1,1.7579999999999998
307,182,31,127,0.181,Chirp,1,1,1,1.27984375
209,176,34,66,0.182,Chirp,1,1,1,1.7599999999999998
307,182,31,127,0.182,Chirp,1,1,1,1.27984375
210,176,34,65,0.183,Chirp,1,1,1,1.7609999999999997
307,182,31,127,0.183,Chirp,1,1,1,1.27984375
211,176,34,66,0.184,Chirp,1,1,1,1.7629999999999997
307,182,31,127,0.184,Chirp,1,1,1,1.27984375
212,176,34,65,0.185,Chirp,1,1,1,1.7639999999999998
307,182,31,127,0.185,Chirp,1,1,1,1.27984375
213,176,34,65,0.186,Chirp,1,1,1,1.7649999999999997
307,182,31,127,0.186,Chirp,1,1,1,1.27984375
214,176,34,65,0.187,Chirp,1,1,1,1.7659999999999996
307,182,31,127,0.187,Chirp,1,1,1,1.27984375
215,176,34,65,0.188,Chirp,1,1,1,1.7669999999999995
307,182,31,127,0.188,Chirp,1,1,1,1.27984375
216,176,34,65,0.189,Chirp,1,1,1,1.7689999999999995
307,182,31,127,0.189,Chirp,1,1,1,1.27984375
216,176,34,65,0.19,Chirp,1,1,1,1.7689999999999995
307,182,31,127,0.19,Chirp,1,1,1,1.27984375
217,176,34,63,0.191,Chirp,1,1,1,1.7659999999999996
307,182,31,127,0.191,Chirp,1,1,1,1.27984375
217,176,34,63,0.192,Chirp,1,1,1,1.7659999999999996
307,182,31,127,0.192,Chirp,1,1,1,1.27984375
217,176,34,63,0.193,Chirp,1,1,1,1.7659999999999996
307,182,31,127,0.193,Chirp,1,1,1,1.27984375
218,176,34,63,0.194,Chirp,1,1,1,1.7629999999999995
307,182,31,127,0.194,Chirp,1,1,1,1.27984375
218,176,34,63,0.195,Chirp,1,1,1,1.7629999999999995
307,182,31,127,0.195,Chirp,1,1,1,1.27984375
218,176,34,63,0.196,Chirp,1,1,1,1.7629999999999995
307,182,31,127,0.196,Chirp,1,1,1,1.27984375
219,176,34,63,0.197,Chirp,1,1,1,1.7619999999999996
307,182,31,127,0.197,Chirp,1,1,1,1.27984375
220,176,34,63,0.198,Chirp,1,1,1,1.7609999999999997
307,182,31,127,0.198,Chirp,1,1,1,1.27984375
221,176,34,63,0.199,Chirp,1,1,1,1.7599999999999998
307,182,31,127,0.199,Chirp,1,1,1,1.27984375
222,176,34,63,0.2,Chirp,1,1,1,1.759
307,182,31,127,0.2,Chirp,1,1,1,1.27984375
223,176,34,63,0.201,Chirp,1,1,1,1.758
307,182,31,127,0.201,Chirp,1,1,1,1.27984375
224,176,34,63,0.202,Chirp,1,1,1,1.7570000000000001
307,182,31,127,0.202,Chirp,1,1,1,1.27984375
225,176,34,63,0.203,Chirp,1,1,1,1.7550000000000001
307,182,31,127,0.203,Chirp,1,1,1,1.27984375
225,176,34,63,0.204,Chirp,1,1,1,1.7550000000000001
307,182,31,127,0.20400000000000001,Chirp,1,1,1,1.27984375
227,176,34,63,0.205,Chirp,1,1,1,1.754
307,182,31,127,0.20500000000000002,Chirp,1,1,1,1.27984375
228,176,34,62,0.20600000000000002,Chirp,1,1,1,1.75
307,182,31,127,0.20600000000000002,Chirp,1,1,1,1.27984375
228,176,34,62,0.207,Chirp,1,1,1,1.75
307,182,31,127,0.20700000000000002,Chirp,1,1,1,1.27984375
229,176,34,62,0.208,Chirp,1,1,1,1.748
307,182,31,127,0.20800000000000002,Chirp,1,1,1,1.27984375
230,176,34,62,0.209,Chirp,1,1,1,1.746
307,182,31,127,0.209,Chirp,1,1,1,1.27984375
232,176,34,62,0.21,Chirp,1,1,1,1.742
307,182,31,127,0.21,Chirp,1,1,1,1.27984375
232,176,34,62,0.211,Chirp,1,1,1,1.742
307,182,31,127,0.211,Chirp,1,1,1,1.27984375
233,176,34,60,0.212,Chirp,1,1,1,1.738
307,182,31,127,0.212,Chirp,1,1,1,1.27984375
234,176,34,61,0.213,Chirp,1,1,1,1.7349999999999999
307,182,31,127,0.213,Chirp,1,1,1,1.27984375
235,176,34,61,0.214,Chirp,1,1,1,1.7319999999999998
307,182,31,127,0.214,Chirp,1,1,1,1.27984375
236,176,34,61,0.215,Chirp,1,1,1,1.7289999999999996
307,182,31,127,0.215,Chirp,1,1,1,1.27984375
238,176,34,60,0.216,Chirp,1,1,1,1.7249999999999996
307,182,31,127,0.216,Chirp,1,1,1,1.27984375
239,176,34,60,0.217,Chirp,1,1,1,1.7169999999999996
307,182,31,127,0.217,Chirp,1,1,1,1.27984375
239,176,34,60,0.218,Chirp,1,1,1,1.7169999999999996
307,182,31,127,0.218,Chirp,1,1,1,1.27984375
241,176,34,60,0.219,Chirp,1,1,1,1.7129999999999996
307,182,31,127,0.219,Chirp,1,1,1,1.27984375
242,176,34,59,0.22,Chirp,1,1,1,1.7079999999999997
307,182,31,127,0.22,Chirp,1,1,1,1.27984375
243,176,34,59,0.221,Chirp,1,1,1,1.7029999999999998
307,182,31,127,0.221,Chirp,1,1,1,1.27984375
244,176,34,60,0.222,Chirp,1,1,1,1.6949999999999998
307,182,31,127,0.222,Chirp,1,1,1,1.27984375
244,176,34,60,0.223,Chirp,1,1,1,1.6949999999999998
307,182,31,127,0.223,Chirp,1,1,1,1.27984375
245,176,34,60,0.224,Chirp,1,1,1,1.6909999999999998
307,182,31,127,0.224,Chirp,1,1,1,1.27984375
246,176,34,59,0.225,Chirp,1,1,1,1.686
307,182,31,127,0.225,Chirp,1,1,1,1.27984375
247,176,34,59,0.226,Chirp,1,1,1,1.681
307,182,31,127,0.226,Chirp,1,1,1,1.27984375
249,176,34,58,0.227,Chirp,1,1,1,1.669
307,182,31,127,0.227,Chirp,1,1,1,1.27984375
249,176,34,58,0.228,Chirp,1,1,1,1.669
307,182,31,127,0.228,Chirp,1,1,1,1.27984375
250,176,34,59,0.229,Chirp,1,1,1,1.6640000000000001
307,182,31,127,0.229,Chirp,1,1,1,1.27984375
251,176,34,58,0.23,Chirp,1,1,1,1.6580000000000001
