,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
85,182,31,105,0.075,Flare,1,1,1,1.05828125
77,176,34,73,0.076,Flare,1,1,1,0.7000000000000001
85,182,31,105,0.076,Flare,1,1,1,1.05828125
78,176,34,74,0.077,Flare,1,1,1,0.7100000000000001
85,182,31,105,0.077,Flare,1,1,1,1.05828125
79,176,34,73,0.078,Flare,1,1,1,0.7190000000000001
85,182,31,105,0.078,Flare,1,1,1,1.05828125
80,176,34,74,0.079,Flare,1,1,1,0.7290000000000001
85,182,31,105,0.079,Flare,1,1,1,1.05828125
81,176,34,73,0.08,Flare,1,1,1,0.7380000000000001
85,182,31,105,0.08,Flare,1,1,1,1.05828125
82,176,34,73,0.081,Flare,1,1,1,0.7470000000000001
85,182,31,105,0.081,Flare,1,1,1,1.05828125
83,176,34,72,0.082,Flare,1,1,1,0.7550000000000001
85,182,31,105,0.082,Flare,1,1,1,1.05828125
84,176,34,72,0.083,Flare,1,1,1,0.7630000000000001
85,182,31,105,0.083,Flare,1,1,1,1.05828125
87,176,34,73,0.084,Flare,1,1,1,0.7720000000000001
85,182,31,105,0.084,Flare,1,1,1,1.05828125
90,176,34,72,0.085,Flare,1,1,1,0.7800000000000001
88,182,31,106,0.085,Flare,1,1,1,1.068359375
93,176,34,72,0.086,Flare,1,1,1,0.788
91,182,31,107,0.086,Flare,1,1,1,1.07859375
96,176,34,72,0.08700000000000001,Flare,1,1,1,0.804
94,182,31,110,0.08700000000000001,Flare,1,1,1,1.10890625
96,176,34,72,0.088,Flare,1,1,1,0.804
94,182,31,110,0.088,Flare,1,1,1,1.10890625
102,176,34,74,0.089,Flare,1,1,1,0.8140000000000001
100,182,31,114,0.089,Flare,1,1,1,1.1490625
105,176,34,71,0.09,Flare,1,1,1,0.8210000000000001
103,182,31,116,0.09,Flare,1,1,1,1.16921875
108,176,34,72,0.091,Flare,1,1,1,0.8370000000000001
106,182,31,118,0.091,Flare,1,1,1,1.189609375
108,176,34,72,0.092,Flare,1,1,1,0.8370000000000001
106,182,31,118,0.092,Flare,1,1,1,1.189609375
114,176,34,70,0.093,Flare,1,1,1,0.8430000000000001
112,182,31,123,0.093,Flare,1,1,1,1.2396875
117,176,34,71,0.094,Flare,1,1,1,0.8500000000000001
115,182,31,124,0.094,Flare,1,1,1,1.249921875
120,176,34,71,0.095,Flare,1,1,1,0.8570000000000001
118,182,31,127,0.095,Flare,1,1,1,1.279921875
123,176,34,70,0.096,Flare,1,1,1,0.8630000000000001
121,182,31,127,0.096,Flare,1,1,1,1.279921875
124,176,34,71,0.097,Flare,1,1,1,0.8700000000000001
307,182,31,127,0.097,Flare,1,1,1,1.279765625
125,176,34,70,0.098,Flare,1,1,1,0.8760000000000001
307,182,31,127,0.098,Flare,1,1,1,1.279765625
126,176,34,72,0.099,Flare,1,1,1,0.8840000000000001
307,182,31,127,0.099,Flare,1,1,1,1.279765625
127,176,34,70,0.1,Flare,1,1,1,0.8900000000000001
307,182,31,127,0.1,Flare,1,1,1,1.279765625
128,176,34,70,0.101,Flare,1,1,1,0.8960000000000001
307,182,31,127,0.101,Flare,1,1,1,1.279765625
129,176,34,70,0.10200000000000001,Flare,1,1,1,0.908
307,182,31,127,0.10200000000000001,Flare,1,1,1,1.279765625
129,176,34,70,0.103,Flare,1,1,1,0.908
307,182,31,127,0.10300000000000001,Flare,1,1,1,1.279765625
131,176,34,71,0.10400000000000001,Flare,1,1,1,0.922
307,182,31,127,0.10400000000000001,Flare,1,1,1,1.279765625
131,176,34,71,0.105,Flare,1,1,1,0.922
307,182,31,127,0.105,Flare,1,1,1,1.279765625
132,176,34,70,0.106,Flare,1,1,1,0.928
307,182,31,127,0.106,Flare,1,1,1,1.279765625
134,176,34,69,0.107,Flare,1,1,1,0.9380000000000001
307,182,31,127,0.107,Flare,1,1,1,1.279765625
134,176,34,69,0.108,Flare,1,1,1,0.9380000000000001
307,182,31,127,0.108,Flare,1,1,1,1.279765625
136,176,34,69,0.109,Flare,1,1,1,0.9480000000000001
307,182,31,127,0.109,Flare,1,1,1,1.279765625
136,176,34,69,0.11,Flare,1,1,1,0.9480000000000001
307,182,31,127,0.11,Flare,1,1,1,1.279765625
137,176,34,70,0.111,Flare,1,1,1,0.9540000000000001
307,182,31,127,0.111,Flare,1,1,1,1.279765625
139,176,34,69,0.112,Flare,1,1,1,0.9640000000000001
307,182,31,127,0.112,Flare,1,1,1,1.279765625
139,176,34,69,0.113,Flare,1,1,1,0.9640000000000001
307,182,31,127,0.113,Flare,1,1,1,1.279765625
141,176,34,69,0.114,Flare,1,1,1,0.9690000000000001
307,182,31,127,0.114,Flare,1,1,1,1.279765625
142,176,34,69,0.115,Flare,1,1,1,0.9740000000000001
307,182,31,127,0.115,Flare,1,1,1,1.279765625
143,176,34,69,0.116,Flare,1,1,1,0.9790000000000001
307,182,31,127,0.116,Flare,1,1,1,1.279765625
144,176,34,68,0.117,Flare,1,1,1,0.9830000000000001
307,182,31,127,0.117,Flare,1,1,1,1.279765625
145,176,34,69,0.118,Flare,1,1,1,0.988
307,182,31,127,0.11800000000000001,Flare,1,1,1,1.279765625
146,176,34,68,0.11900000000000001,Flare,1,1,1,0.996
307,182,31,127,0.11900000000000001,Flare,1,1,1,1.279765625
146,176,34,68,0.12,Flare,1,1,1,0.996
307,182,31,127,0.12,Flare,1,1,1,1.279765625
147,176,34,70,0.121,Flare,1,1,1,1.002
307,182,31,127,0.121,Flare,1,1,1,1.279765625
149,176,34,68,0.122,Flare,1,1,1,1.01
307,182,31,127,0.122,Flare,1,1,1,1.279765625
149,176,34,68,0.123,Flare,1,1,1,1.01
307,182,31,127,0.123,Flare,1,1,1,1.279765625
150,176,34,68,0.124,Flare,1,1,1,1.014
307,182,31,127,0.124,Flare,1,1,1,1.279765625
152,176,34,68,0.125,Flare,1,1,1,1.022
307,182,31,127,0.125,Flare,1,1,1,1.279765625
152,176,34,68,0.126,Flare,1,1,1,1.022
307,182,31,127,0.126,Flare,1,1,1,1.279765625
153,176,34,68,0.127,Flare,1,1,1,1.026
307,182,31,127,0.127,Flare,1,1,1,1.279765625
154,176,34,68,0.128,Flare,1,1,1,1.03
307,182,31,127,0.128,Flare,1,1,1,1.279765625
156,176,34,67,0.129,Flare,1,1,1,1.036
307,182,31,127,0.129,Flare,1,1,1,1.279765625
156,176,34,67,0.13,Flare,1,1,1,1.036
307,182,31,127,0.13,Flare,1,1,1,1.279765625
157,176,34,69,0.131,Flare,1,1,1,1.041
307,182,31,127,0.131,Flare,1,1,1,1.279765625
158,176,34,67,0.132,Flare,1,1,1,1.044
307,182,31,127,0.132,Flare,1,1,1,1.279765625
159,176,34,68,0.133,Flare,1,1,1,1.048
307,182,31,127,0.133,Flare,1,1,1,1.279765625
160,176,34,67,0.134,Flare,1,1,1,1.0510000000000002
307,182,31,127,0.134,Flare,1,1,1,1.279765625
161,176,34,68,0.135,Flare,1,1,1,1.0550000000000002
307,182,31,127,0.135,Flare,1,1,1,1.279765625
162,176,34,68,0.136,Flare,1,1,1,1.0590000000000002
307,182,31,127,0.136,Flare,1,1,1,1.279765625
163,176,34,67,0.137,Flare,1,1,1,1.0620000000000003
307,182,31,127,0.137,Flare,1,1,1,1.279765625
165,176,34,67,0.138,Flare,1,1,1,1.0650000000000004
307,182,31,127,0.138,Flare,1,1,1,1.279765625
166,176,34,67,0.139,Flare,1,1,1,1.0680000000000005
307,182,31,127,0.139,Flare,1,1,1,1.279765625
167,176,34,68,0.14,Flare,1,1,1,1.0720000000000005
307,182,31,127,0.14,Flare,1,1,1,1.279765625
168,176,34,67,0.14100000000000001,Flare,1,1,1,1.0780000000000005
307,182,31,127,0.14100000000000001,Flare,1,1,1,1.279765625
168,176,34,67,0.142,Flare,1,1,1,1.0780000000000005
307,182,31,127,0.14200000000000002,Flare,1,1,1,1.279765625
169,176,34,67,0.143,Flare,1,1,1,1.0810000000000004
307,182,31,127,0.14300000000000002,Flare,1,1,1,1.279765625
170,176,34,67,0.144,Flare,1,1,1,1.0840000000000005
